payer_context_rule_id,source_canonical_payer_id,source_clean_payer_name,plan_pattern,match_type,match_scope,match_state,priority,market_segment,program_type,product_or_network_name,subsidiary_or_brand,benefit_line,funding_arrangement,context_state,plan_type,context_confidence,validation_status,review_status,reviewed_by,reviewed_at,active,evidence_source,evidence_url,notes
pcr_aetna_all_commercial,aetna,aetna,all commercial plans,exact_clean,global,,50,commercial,,,,,,,,medium,manual_alias,accepted,initial_seed,2026-05-27,true,aetna_facts,https://www.aetna.com/about-us/aetna-facts-and-subsidiaries/aetna-facts.html,Plan text explicitly groups all commercial plans under Aetna. Confidence medium because it is hospital-reported catch-all commercial text.
pcr_aetna_auto_network,aetna,aetna,auto network,exact_clean,global,,50,workers_comp,workers_comp_auto,,,,,,,medium,inferred_from_pattern,accepted,initial_seed,2026-05-27,true,secondary_awca_archive,https://www.claimsjournal.com/news/national/2005/10/05/60437.htm,Explicit auto network plan text under Aetna maps to the casualty workers comp bucket. Confidence medium.
pcr_aetna_awh,aetna,aetna,awh,exact_clean,global,,50,commercial,,aetna_whole_health,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_whole_health,https://www.aetna.com/insurance-producer/aetna-whole-health.html,AWH is treated as Aetna Whole Health only under Aetna payer context. Confidence medium due to abbreviation risk.
pcr_aetna_better_health,aetna,aetna,^aetna better health( adult| pediatric)?$,regex,global,,50,medicaid_managed_care,medicaid_mco,,aetna_better_health,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_better_health,https://www.aetnabetterhealth.com/,Plan text names Aetna Better Health without a state-specific cue. Regex avoids overlapping state-specific Better Health rules. Confidence high for Medicaid brand but state remains unresolved.
pcr_aetna_better_health_va,aetna,aetna,^aetna better health of virginia$,regex,global,,50,medicaid_managed_care,medicaid_mco,,aetna_better_health,,,VA,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_better_health_va,https://www.aetnabetterhealth.com/virginia/index.html,Plan text names the Virginia Aetna Better Health state Medicaid plan. Regex avoids overlapping the Virginia Medicare D-SNP rule. Confidence high.
pcr_aetna_better_health_va_dsnp,aetna,aetna,better health of virginia medicare,plan_contains,global,,5,medicare_advantage,dsnp,,aetna_better_health,,,VA,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_better_health_va_dsnp,https://www.aetnabetterhealth.com/content/dam/aetna/medicaid/virginia-dsnp/pdf/H1610_2025_H1610_001V1_M-1.pdf,Plan text names Aetna Better Health of Virginia plus Medicare so map to the Virginia D-SNP bucket. Confidence high.
pcr_aetna_commercial_named,aetna,aetna,aetna commercial,plan_contains,global,,50,commercial,,,,,,,,medium,manual_alias,accepted,initial_seed,2026-05-27,true,aetna_facts,https://www.aetna.com/about-us/aetna-facts-and-subsidiaries/aetna-facts.html,Plan text explicitly identifies Aetna commercial coverage. Generic HMO PPO EPO labels alone remain Aetna unknown product. Confidence high.
pcr_aetna_funding_advantage,aetna,aetna,aetna funding advantage,plan_contains,global,,50,commercial,,aetna_funding_advantage,,,level_funded,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_funding_advantage,https://www.aetna.com/content/dam/aetna/pdfs/aetnacom/employers-organizations/afa/sg_afa_ok_standard_grid_0LXR_ER_options_100122.pdf,Plan text names the Aetna Funding Advantage self-insured employer product. Confidence high.
pcr_aetna_mcr_compact,aetna,aetna,^mcr(hmo|ppo|pos)$,regex,global,,50,medicare_advantage,medicare_advantage,,,,,,,medium,inferred_from_pattern,accepted,initial_seed,2026-05-27,true,aetna_medicare,https://www.aetna.com/medicare/compare-plans-enroll/find-plans.html,Compact MCRHMO MCRPPO and MCRPOS plan labels under Aetna are Medicare Advantage plan-type cues. Confidence medium.
pcr_aetna_medicare_advantage,aetna,aetna,medicare advantage,plan_contains,global,,50,medicare_advantage,medicare_advantage,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_medicare,https://www.aetna.com/medicare/compare-plans-enroll/benefits-medicare-advantage-plan.html,Medicare Advantage plan text under Aetna maps to Aetna Medicare Advantage. Confidence high.
pcr_aetna_medicare_managed_care,aetna,aetna,medicare managed care plan,plan_contains,global,,50,medicare_advantage,medicare_advantage,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_medicare,https://www.aetna.com/medicare/compare-plans-enroll/benefits-medicare-advantage-plan.html,Medicare managed care plan text under Aetna maps to Aetna Medicare Advantage. Confidence high.
pcr_aetna_medicare_named,aetna,aetna,aetna medicare,plan_contains,global,,50,medicare_advantage,medicare_advantage,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_medicare,https://www.aetna.com/medicare.html,Aetna Medicare plan text maps to Aetna Medicare Advantage for negotiated-rate analysis. Confidence high.
pcr_aetna_tn_preferred,aetna,aetna,aetna tn preferred,plan_contains,state,TN,10,commercial,,aetna_tennessee_preferred,,,,TN,,medium,manual_alias,accepted,initial_seed,2026-05-27,true,provider_context,https://www.vanderbiltbedfordhospital.com/insurance-plans-professional-services,Observed Tennessee Aetna preferred network label. State scoped to reduce false positives. Confidence medium.
pcr_aetna_vhan,aetna,aetna,aetna vhan,plan_contains,global,,50,commercial,,aetna_vhan,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,vhan_health_plans,https://www.vhan.com/i-am/health-plans/,Aetna VHAN plan text maps to the Vanderbilt Health Affiliated Network contracting bucket. Confidence high.
pcr_aetna_whole_health,aetna,aetna,aetna whole health,plan_contains,global,,50,commercial,,aetna_whole_health,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_whole_health,https://www.aetna.com/insurance-producer/aetna-whole-health.html,Aetna Whole Health plan text maps to Aetna Whole Health commercial accountable-care network product. Confidence high.
pcr_aetna_workers_comp,aetna,aetna,workers' compensation network,exact_clean,global,,50,workers_comp,workers_comp_auto,,,,,,,medium,inferred_from_pattern,accepted,initial_seed,2026-05-27,true,secondary_awca_archive,https://www.claimsjournal.com/news/national/2005/10/05/60437.htm,Explicit workers compensation network plan text under Aetna maps to workers comp bucket. Confidence medium.
pcr_alias_allcare_medicare,allcare_health,allcare medicare,allcare medicare,payer_name,global,,60,medicare_advantage,medicare_advantage,,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pcr_alias_atrio_health,atrio_health,atrio health,atrio health,payer_name,global,,60,medicare_advantage,medicare_advantage,,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pcr_alias_blue_cross_gmc_ca,anthem_blue_cross_california,blue cross gmc,blue cross gmc,payer_name,state,CA,20,medicaid_managed_care,medi_cal,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-28,true,anthem_ca_medicaid,https://mss.anthem.com/california-medicaid/benefits/medi-cal-plan-benefits.html,California GMC payer text is treated as Anthem Blue Cross Medi-Cal managed care. Confidence medium because GMC abbreviation is inferred from California Medicaid context.
pcr_alias_blue_cross_senior_ca,anthem_blue_cross_california,blue cross senior,blue cross senior,payer_name,state,CA,20,medicare_advantage,medicare_advantage,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-28,true,anthem_ca_medicare,https://www.anthem.com/ca/medicare/medicare-advantage-plans/mediblue-hmo,California Blue Cross Senior payer value maps to Anthem Blue Cross Medicare Advantage. Confidence high.
pcr_alias_blue_shield_senior_ca,blue_shield_california,blue shield senior,blue shield senior,payer_name,state,CA,20,medicare_advantage,medicare_advantage,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-28,true,blue_shield_ca_medicare,https://www.blueshieldca.com/en/medicare/medicare-plan-types/medicare-advantage-plans,California Blue Shield Senior payer value maps to Blue Shield of California Medicare Advantage. Confidence high.
pcr_alias_bluecare,bcbs_tennessee,bluecare,bluecare,payer_name,state,TN,20,medicaid_managed_care,tenncare,,bluecare_tennessee,,,TN,,medium,manual_alias,accepted,initial_seed,2026-05-25,true,manual_review,,State-scoped Tennessee Blues Medicaid brand.
pcr_alias_basix,basix,basix,basix,payer_name,global,,60,other,,basix_dental_savings,,dental,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,basix_student,https://www.basixstudent.com/,BASIX payer value maps to dental savings discount program context and is not insurance. Confidence high.
pcr_bright_health_comm,bright_health,bright health,comm,exact_clean,global,,50,commercial,,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,neuehealth_rebrand,https://investors.neuehealth.com/news/news-details/2024/Bright-Health-Group-Adopts-NeueHealth-as-Corporate-Brand-Name/default.aspx,COMM plan text under Bright Health maps to commercial context. Confidence medium because Bright historical products included exchange employer and Medicare lines.
pcr_alias_caresource_ga,caresource,caresource ga,caresource ga,payer_name,global,,60,medicaid_managed_care,,,,,,GA,,medium,manual_alias,accepted,initial_seed,2026-05-25,true,manual_review,,Observed state-specific CareSource alias.
pcr_alias_caresource_nc,caresource,caresource nc,caresource nc,payer_name,global,,60,medicaid_managed_care,,,,,,NC,,medium,manual_alias,accepted,initial_seed,2026-05-25,true,manual_review,,Observed state-specific CareSource alias.
pcr_alias_caresource_tn,caresource,caresource tn,caresource tn,payer_name,global,,60,medicaid_managed_care,,,,,,TN,,medium,manual_alias,accepted,initial_seed,2026-05-25,true,manual_review,,Observed state-specific CareSource alias.
pcr_alias_cigna_healthspring_mcr_adv,cigna,cigna healthspring mcr adv,cigna healthspring mcr adv,payer_name,global,,60,medicare_advantage,medicare_advantage,,cigna_healthspring,,,,,medium,manual_alias,accepted,initial_seed,2026-05-25,true,manual_review,,Observed Medicare Advantage brand.
pcr_alias_block_vision,block_vision,block vision,block vision,payer_name,global,,60,,,,,vision,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,versant_experience,https://versanthealth.com/experience/,Block Vision payer value maps to vision benefit-line context. Market segment remains unknown without a specific program or employer coverage signal.
pcr_alias_davis_vision,davis_vision,davis vision,davis vision,payer_name,global,,60,,,,,vision,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,versant_about,https://versanthealth.com/about/,Davis Vision payer value maps to vision benefit-line context. Market segment remains unknown without a specific program or employer coverage signal.
pcr_alias_dental_health_alliance,dental_health_alliance,dental health alliance,dental health alliance,payer_name,global,,60,,,dental_health_alliance_network,,dental,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,dha_payor_list,https://www.sunlife.com/us/sl/dha/en/info/dentist-resources/payors/,Dental Health Alliance payer value maps to dental network context. Market segment remains unknown without payer access arrangement context.
pcr_alias_eyemed,eyemed,eyemed,eyemed,payer_name,global,,60,,,,,vision,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,eyemed_about,https://www.eyemed.com/en-us/about-us,EyeMed payer value maps to vision benefit-line context. Market segment remains unknown without a specific program or employer coverage signal.
pcr_alias_first_health_coventry,first_health,first health coventry,first health coventry,payer_name,global,,60,commercial,,first_health_coventry,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pcr_alias_healthnet_senior_ca,health_net,healthnet senior,healthnet senior,payer_name,state,CA,20,medicare_advantage,medicare_advantage,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,health_net_about,https://www.healthnet.com/content/healthnet/en_us/about-us.html,Healthnet Senior payer value maps to Health Net Medicare Advantage based on Health Net Medicare contracting context.
pcr_healthsmart_comm,healthsmart,healthsmart,comm,exact_clean,global,,50,commercial,,healthsmart_preferred_network,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,healthsmart_network,https://healthsmart.com/?tabid=79,COMM plan text under HealthSmart maps to commercial network context. Confidence medium.
pcr_healthsmart_wcomp,healthsmart,healthsmart,wcomp,exact_clean,global,,10,workers_comp,workers_comp,healthsmart_workers_comp_network,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,healthsmart_provider_manual,https://healthsmart.com/HealthSmart/media/Provider-Manual-Files/HS-Provider-Manual_0323.pdf,WCOMP plan text under HealthSmart maps to workers compensation network context. Confidence medium.
pcr_alias_humana_choicecare,humana,humana choicecare,humana choicecare,payer_name,global,,60,commercial,,humana_choicecare,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-27,true,manual_review,,High-confidence Humana ChoiceCare payer value.
pcr_alias_humana_choicecare_ppo,humana,humana choicecare ppo,humana choicecare ppo,payer_name,global,,60,commercial,,humana_choicecare,,,,,,medium,manual_alias,accepted,initial_seed,2026-05-27,true,manual_review,,High-confidence Humana ChoiceCare PPO payer value.
pcr_alias_humana_dental,humana,humana dental,humana dental,payer_name,global,,60,commercial,,,,dental,,,,medium,manual_exact,accepted,initial_seed,2026-05-27,true,manual_review,,High-confidence Humana dental payer value.
pcr_alias_humana_medicare,humana,humana medicare,humana medicare,payer_name,global,,60,medicare_advantage,medicare_advantage,,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-27,true,manual_review,,Humana Medicare payer value maps to Humana Medicare Advantage for negotiated-rate analysis.
pcr_alias_humana_medicare_advantage,humana,humana medicare advantage,humana medicare advantage,payer_name,global,,60,medicare_advantage,medicare_advantage,,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-27,true,manual_review,,High-confidence Humana Medicare Advantage payer value.
pcr_alias_humana_medicare_advantage_ppo,humana,humana medicare advantage ppo,humana medicare advantage ppo,payer_name,global,,60,medicare_advantage,medicare_advantage,,,,,,,medium,manual_alias,accepted,initial_seed,2026-05-27,true,manual_review,,High-confidence Humana Medicare Advantage PPO payer value.
pcr_alias_humana_military,humana,humana military,humana military,payer_name,global,,60,tricare_va,tricare_east,,humana_military,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,tricare_east,https://www.tricare.mil/east,Humana Military is the TRICARE East contractor context in observed hospital payer records.
pcr_alias_humana_military_east,humana,humana military east,humana military east,payer_name,global,,60,tricare_va,tricare_east,,humana_military,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,tricare_east,https://www.tricare.mil/east,High-confidence Humana Military East payer value.
pcr_alias_humana_ppo_choicecare,humana,humana ppo/choicecare,humana ppo/choicecare,payer_name,global,,60,commercial,,humana_choicecare,,,,,,medium,manual_alias,accepted,initial_seed,2026-05-27,true,manual_review,,High-confidence Humana PPO/ChoiceCare payer value.
pcr_alias_humanachoice,humana,humanachoice,humanachoice,payer_name,global,,60,commercial,,humana_choicecare,,,,,,medium,manual_alias,accepted,initial_seed,2026-05-27,true,manual_review,,Observed compact Humana Choice payer value.
pcr_alias_molina,molina,molina,molina,payer_name,global,,60,medicaid_managed_care,,,,,,,,medium,manual_alias,accepted,initial_seed,2026-05-25,true,manual_review,,Reviewed Molina alias.
pcr_alias_molina_healthcare,molina,molina healthcare,molina healthcare,payer_name,global,,60,medicaid_managed_care,,,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pcr_alias_novanet,novanet,novanet,novanet,payer_name,global,,60,commercial,,novanet_ppo,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,novanet_ppo,https://novanetppo.com/,NovaNet payer value maps to NovaNet PPO commercial network context. Adult and pediatric plan text is not payer identity.
pcr_occunet_commercial,occunet,occunet,occunet commercial,exact_clean,global,,50,commercial,,occunet_commercial,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,occunet_commercial,https://www.occunet.com/out-of-network,OccuNet Commercial plan text maps to commercial out-of-network cost containment context. Confidence high.
pcr_occunet_wc,occunet,occunet,occunet wc,exact_clean,global,,10,workers_comp,workers_comp,occunet_workers_comp,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,occunet_workers_comp,https://www.occunet.com/solutions/workers-compensation,OccuNet WC plan text maps to workers compensation context. Confidence high.
pcr_optum_vaccn,optum,optum vaccn,optum vaccn,payer_name,global,,5,tricare_va,va_ccn,va_community_care_network,optum,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,va_ccn_optum,https://www.va.gov/COMMUNITYCARE/programs/veterans/CCN-Veterans.asp,OPTUM VACCN payer value maps to VA Community Care Network context under Optum. Confidence high for VA CCN.
pcr_alias_pnoa,pnoa,pnoa,pnoa,payer_name,global,,60,commercial,,pnoa_ppo_network,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,pnoa_home,https://pnoa.com/,PNOA payer value maps to commercial PPO network context unless workers comp or auto context appears separately. Confidence high.
pcr_santa_clara_family_health_plan_medicaid,santa_clara_family_health_plan,santa clara family health plan,medicaid,exact_clean,state,CA,10,medicaid_managed_care,medi_cal,,,,,CA,,medium,source_verified,accepted,initial_seed,2026-05-29,true,scfhp_medical,https://www.scfhp.com/healthcare-plans/medi-cal/,Medicaid plan text under Santa Clara Family Health Plan maps to Medi-Cal managed care in California. Confidence high.
pcr_santa_clara_family_health_plan_dualconnect,santa_clara_family_health_plan,santa clara family health plan,dualconnect,plan_contains,state,CA,5,medicare_advantage,dsnp,scfhp_dualconnect,,,,CA,,medium,source_verified,accepted,initial_seed,2026-05-29,true,scfhp_dualconnect,https://www.scfhp.com/healthcare-plans/dualconnect/,DualConnect plan text under Santa Clara Family Health Plan maps to California Medicare Medi-Cal D-SNP context. Confidence high.
pcr_alias_superior_vision,superior_vision,superior vision,superior vision,payer_name,global,,60,,,,,vision,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,versant_about,https://versanthealth.com/about/,Superior Vision payer value maps to vision benefit-line context. Market segment remains unknown without a specific program or employer coverage signal.
pcr_upmc_medicare_advantage,upmc_health_plan,upmc,medicare advantage,plan_contains,global,,50,medicare_advantage,medicare_advantage,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,upmc_about,https://www.upmc.com/about,Medicare Advantage plan text under UPMC maps to UPMC Health Plan Medicare Advantage context. Confidence medium.
pcr_alias_vsp,vsp,vsp,vsp,payer_name,global,,60,,,,,vision,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,vsp_vision_about,https://www.vspvision.com/newsroom/company-news/company-announcements/one-million-investment-in-vision-care-and-literacy,VSP payer value maps to vision benefit-line context. Market segment remains unknown without a specific program or employer coverage signal.
pcr_health_net_comm,health_net,health net,comm,exact_clean,state,CA,10,commercial,,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,health_net_about,https://www.healthnet.com/content/healthnet/en_us/about-us.html,COMM plan text under California Health Net maps to commercial context. Confidence medium.
pcr_healthnet_ambetter_enhanced_ppo,health_net,healthnet,ambetter enhanced ppo,plan_contains,state,CA,10,exchange_marketplace,,ambetter_enhancedcare_ppo,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,health_net_ambetter,https://www.healthnet.com/content/healthnet/en_us/news-center/news-releases/2021-11-09-californians-can-choose-ambetter-from-health-net-for-affordable-health-coverage.html,Ambetter Enhanced PPO plan text under California Healthnet maps to Health Net exchange marketplace context. PPO detail is preserved in the product/network name. Confidence high.
pcr_healthnet_smartcare,health_net,healthnet,health net smartcare,plan_contains,state,CA,10,commercial,,smartcare,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,health_net_smartcare,https://www.healthnet.com/content/healthnet/en_us/find-a-plan/large-employers/type-of-plans.html,SmartCare plan text under California Healthnet maps to Health Net commercial product context. Confidence high.
pcr_multiplan_all_commercial,multiplan,multiplan,all commercial plans,exact_clean,global,,50,commercial,,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,multiplan_networks,https://www.multiplan.us/wp-content/uploads/2023/04/PRVP123_MultiPlan_Networks_4-2023.pdf,All Commercial Plans text under MultiPlan maps to commercial network context. Confidence high.
pcr_multiplan_complementary,multiplan,multiplan,complementary,exact_clean,global,,50,commercial,,multiplan_complementary_ppo_network,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,multiplan_networks,https://www.multiplan.us/wp-content/uploads/2023/04/PRVP123_MultiPlan_Networks_4-2023.pdf,Complementary plan text under MultiPlan maps to the complementary PPO network context. Confidence medium because the source notes this network can support workers compensation and automobile insurance when separately indicated.
pcr_multiplan_primary,multiplan,multiplan,primary,exact_clean,global,,50,commercial,,phcs_primary_ppo_network,,,,,,medium,source_verified,accepted,initial_seed,2026-05-29,true,multiplan_networks,https://www.multiplan.us/wp-content/uploads/2023/04/PRVP123_MultiPlan_Networks_4-2023.pdf,Primary plan text under MultiPlan maps to PHCS primary PPO network context. Confidence medium.
pcr_alias_nhc_advantage,nhc_advantage,nhc advantage,nhc advantage,payer_name,global,,60,medicare_advantage,medicare_advantage,,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pcr_alias_oscar,oscar_health,oscar,oscar,payer_name,global,,60,exchange_marketplace,,,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pcr_alias_peach_state,peach_state_health_plan,peach state hlth plan,peach state hlth plan,payer_name,global,,60,medicaid_managed_care,,,,,,GA,,medium,manual_alias,accepted,initial_seed,2026-05-25,true,manual_review,,Reviewed Peach State Health Plan alias.
pcr_alias_simpra_advantage,simpra_advantage,simpra advantage,simpra advantage,payer_name,global,,60,medicare_advantage,medicare_advantage,,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pcr_alias_united_behavioral_health,optum,united behavioral health,united behavioral health,payer_name,global,,60,commercial,,,optum,behavioral_health,,,,medium,source_verified,accepted,initial_seed,2026-05-28,true,uhc_behavioral_health,https://www.uhc.com/agents-brokers/employer-sponsored-plans/products-solutions/behavioral-health,United Behavioral Health maps to the Optum behavioral health benefit-line bucket.
pcr_alias_united_bh,optum,united bh,united bh,payer_name,global,,60,commercial,,,optum,behavioral_health,,,,medium,manual_alias,accepted,initial_seed,2026-05-28,true,uhc_behavioral_health,https://www.uhc.com/agents-brokers/employer-sponsored-plans/products-solutions/behavioral-health,Observed abbreviated United Behavioral Health payer value maps to Optum behavioral health.
pcr_alias_united_healthcare_medicare,unitedhealthcare,united healthcare medicare,united healthcare medicare,payer_name,global,,60,medicare_advantage,medicare_advantage,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-28,true,aarp_medicare_uhc,https://www.aarpmedicareplans.com/,Payer value explicitly names UnitedHealthcare Medicare and maps to UnitedHealthcare Medicare Advantage for negotiated-rate analysis.
pcr_alias_united_healthcare_west,unitedhealthcare,united healthcare west,united healthcare west,payer_name,state,CA,20,commercial,,unitedhealthcare_west,,,,,,medium,source_verified,accepted,initial_seed,2026-05-28,true,uhc_west_plan_codes,https://ams-gateway.uhcprovider.com/en/claims-payments-billing/uhcw-plan-codes.html,California UnitedHealthcare West payer value maps to UnitedHealthcare West HMO commercial context.
pcr_alias_wellcare_health_plan_mcr_adv,wellcare,wellcare health plan inc mcr adv,wellcare health plan inc mcr adv,payer_name,global,,60,medicare_advantage,medicare_advantage,,,,,,,medium,manual_alias,accepted,initial_seed,2026-05-25,true,manual_review,,Observed Medicare Advantage Wellcare alias.
pcr_alias_wellcare_ky,wellcare,wellcare of ky,wellcare of ky,payer_name,global,,60,medicaid_managed_care,,,,,,KY,,medium,manual_alias,accepted,initial_seed,2026-05-25,true,manual_review,,Observed state-specific Wellcare alias.
pcr_alias_wellcare_medicare,wellcare,wellcare medicare,wellcare medicare,payer_name,global,,60,medicare_advantage,medicare_advantage,,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Observed Medicare Wellcare identity.
